author:ID(Author)
"""Colored Quartet"" (name unknown)"
"Aaberg, J. C. (Jens Christian)"
"Scobey, Kathrine Lois"
"Scollard, Clinton"
"Scoresby, William"
"Scott, A. J. L. (Alan John Lance)"
"Scott, C. Rochfort‏ (Charles Rochfort)"
"Scott, Daniel"
"Scott, Dixon"
"Scott, Duncan Campbell"
"Scott, Emma Look, Mrs."
"Scott, Emmett J. (Emmett Jay)"
"Scott, Ernest, Sir"
"Scott, Eva"
"Scott, Evelyn"
"Scott, Frederick George"
"Scott, G. Firth"
"Scott, Gertrude Fisher"
"Scott, Greenwood & Co."
"Scott, John A."
"Scott, John Reed"
"Scott, John Robert"
"Scott, Kevin"
"Scott, Leader"
"Scott, Leroy"
"Scott, Martin J. (Martin Jerome)"
"Scott, Matthew"
"Scott, Michael"
"Scott, Morgan"
"Scott, Robert Falcon"
"Scott, Robert Forsyth"
"Scott, Sarah"
"Scott, Virgil E."
"Scott, Walter Dill"
"Scott, Walter"
"Scott, William Amasa"
"Scott, William R. (William Rufus)"
"Scott-Elliot, W. (William)"
"Scott-James, R. A. (Rolfe Arnold)"
"Scotus, Johannes"
"Scoville, Samuel"
"Scribe, Eugène"
"Scrivener, Frederick Henry Ambrose"
"Scudder, Horace Elisha"
"Scudder, John"
"Scudo, Paul"
"Scully, Vincent"
"Scully, W. C. (William Charles)"
"Scurry, James"
"Scyoc, Sydney Van"
"Sea, Sophie Fox"
"Seaborn, Adam"
"Seabra, Bruno"
"Seabridge, Charles"
"Seacole, Mary"
"Sealsfield, Charles"
"Seaman, Augusta Huiell"
"Seaman, Owen"
"Searchfield, Emilie"
"Searight, Thomas B. (Thomas Brownfield)"
"Searle, Alfred B. (Alfred Broadhead)"
"Sears, Clara Endicott"
"Sears, George Washington"
"Sears, John Van der Zee"
"Sears, Joseph Hamblen"
"Sears, Roebuck and Company"
"Seaton, A. E."
"Seaton, Ernest Thompson"
"Seaton, R. C. (Robert Cooper)"
"Seaver, James E. (James Everett)"
"Seawell, Molly Elliot"
"Seccombe, Thomas"
"Secondat, Charles de"
"Secrétan, Charles"
"Sedding, John Dando"
"Sedgwick, Anne Douglas"
"Sedgwick, Catharine Maria"
"Sedgwick, Henry Dwight"
"Sedgwick, Susan Anne Livingston Ridley"
"Seebohm, Frederic"
"Seebohm, Hugh E. (Hugh Exton)"
"Seeburg, Franz von"
"Seeger, Alan"
"Seeger, Frederica"
"Seeley, H. G. (Harry Govier)"
"Seeley, Levi"
"Seeley, Richmond"
"Seeley, Robert Benton"
"Seely, Herman Gastrell"
"Seelye, Edward Eli"
"Segalen, Victor"
"Seibert, Fred R."
"Seidel, Ina"
"Seidensticker, John"
"Seiffert, Marjorie Allen"
"Seignobos, Charles"
"Seiler, Emma"
"Seiss, Joseph Augustus"
"Seklemian, A. K."
"Selander, Robert K."
"Seldes, Gilbert"
"Self, H. I. M."
"Sell, Edward"
"Sell, Henry T. (Henry Thorne)"
"Sellar, Gordon"
"Sellar, W. Y. (William Young)"
"Sellars, Roy Wood"
"Sellers, Charles"
"Sellers, William E."
"Sellon, Edward"
"Selmer, Louis"
"Selous, Edmund"
"Selous, Frederick Courteney"
"Seltzer, Charles Alden"
"Selvago, Alonso de Villegas"
"Selve, Edgar la"
"Selwyn, George Augustus"
"Selwyn-Brown, Arthur"
"Semmelweis, Ignác Fülöp"
"Semmes, Raphael"
"Semper, C. (Carl)"
"Semple, Elizabeth, active 1804-1816"
"Semple, Ellen Churchill"
"Senancour, Etienne Pivert de"
"Senarens, Luis"
"Seneca, Lucius Annaeus"
"Senefelder, Alois"
"Senior, Nassau W."
"Senior, William"
"Sepúlveda, Christóvam Ayres de Magalhães"
"Sequeira, Eduardo Henrique Vieira Coelho de"
"Sequera, Mariano"
"Serao, Matilde"
"Serena, Carla"
"Sergeant, Adeline"
"Sergeant, Philip Walsingham"
"Serjeant, Constancia"
"Serkoff, Vera, Countess"
"Serra, Antonio, active 1613"
"Serrano, Bento"
"Serrano, Juan"
"Serrell, Edith"
"Servi, Flaminio"
"Service, Robert W. (Robert William)"
"Serviss, Garrett Putman"
"Sessions, Frederick"
"Sestier, Jules M."
"Seton, Ernest Thompson"
"Seton, Julia"
"Seton, Sir Bruce"
"Seton-Thompson, Grace Gallatin"
"Seton-Watson, R. W. (Robert William)"
"Setoun, Gabriel"
"Settle, Elkanah"
"Setzer, Henry W."
"Seume, Johann Gottfried"
"Sevcik, Al"
"Sevens, Theodoor"
"Severance, Frank H. (Frank Hayward)"
"Severing, Paul"
"Severy, Melvin L. (Melvin Linwood)"
"Sevilla, Jose N."
"Seville, William P."
"Sewall, Rufus King"
"Seward, A. C. (Albert Charles)"
"Seward, Anna"
"Seward, William Henry"
"Sewell, Anna"
"Sewell, Elizabeth Missing"
"Sewell, James Witt"
"Sexton, Ella M. (Ella May)"
"Seymour, Alfred"
"Seymour, Charles"
"Seymour, Robert"
"Seymour, St. John D. (St. John Drelincourt)"
"Seymour, Thomas D. (Thomas Day)"
"Seé, Anna"
"Sforza, Giovanni"
"Shaara, Michael"
"Shabeeny, Abd Salam, active 1820"
"Shackleford, H. K. (Harvey King)"
"Shackleton, Ernest Henry, Sir"
"Shackleton, Robert"
"Shaffer, Geneve L. A."
"Shafhauser, Charles"
"Shairp, John Campbell"
"Shakespear, John"
"Shakespeare, William"
"Shaler, Nathaniel Southgate"
"Shaler, Robert"
"Shallit, Joseph"
"Shambaugh, Benjamin Franklin"
"Shan, Ben"
"Shang, Yang"
"Shanks, Edward"
"Shanks, William Franklin Gore"
"Shannon, T. W."
"Shao, Binru"
"Sharber, Kate Trimble"
"Sharkey, Jack"
"Sharman, Julian"
"Sharp, Annabel"
"Sharp, Cecil J. (Cecil James)"
"Sharp, Dallas Lore"
"Sharp, Elizabeth A. (Elizabeth Amelia)"
"Sharp, Evelyn"
"Sharp, William"
"Sharpe, Edmund"
"Sharpe, Reginald R. (Reginald Robinson)"
"Sharpley, R."
"Sharswood, George"
"Shastid, Thomas Hall"
"Shaver, Richard S."
"Shaw, Albert"
"Shaw, Bernard"
"Shaw, Bernhard"
"Shaw, Catharine"
"Shaw, Donald, late captain"
"Shaw, Edward R. (Edward Richard)"
"Shaw, Ellen Eddy"
"Shaw, Flora L."
"Shaw, Hazel Yearsley"
"Shaw, Henry I."
"Shaw, James H."
"Shaw, Larry T."
"Shaw, Leslie M. (Leslie Mortier)"
"Shaw, Milton"
"Shaw, Robert B."
"Shaw, S. B. (Solomon Benjamin)"
"Shaw, Stanley"
"Shaw, Thomas"
"Shaw, Wilfred Byron"
"Shaw, William Arthur"
"Shay, Frank"
"Shea, Cornelius"
"Shea, John Gilmary"
"Shea, Robert"
"Sheafe, Alfonso Josephs"
"Sheard, Virna"
"Shearer, Herbert A."
"Shearin, Hubert G. (Hubert Gibson)"
"Shearin, K. Kay"
"Shearman, Sumner Upham"
"Shearon, Lillian Nicholson"
"Sheavyn, Phoebe"
"Sheckley, Robert"
"Shedd, E. Cutler (Ephraim Cutler)"
"Shedd, George C. (George Clifford)"
"Shedd, William G. T. (William Greenough Thayer)"
"Shedlock, J. S. (John South)"
"Shedlock, Marie L."
"Sheehan, D. D. (Daniel Desmond)"
"Sheehan, James"
"Sheehan, Patrick Augustine"
"Sheets, Emily Churchill Thompson"
"Sheldon, Anna R."
"Sheldon, Charles M."
"Sheldon, Georgie, Mrs."
"Sheldon, Louise Vescelius"
"Sheldon, Lurana"
"Sheldon, Walter J."
"Shellenberger, John K."
"Shelley, Henry C. (Henry Charles)"
"Shelley, Mary Wollstonecraft"
"Shelley, Percy Bysshe"
"Shelton, F. H."
"Shelton, Louise"
"Shelton, Napier"
"Shelton, Vaughan"
"Shen, Dao"
"Shen, Fu"
"Shen, Ji Ji"
"Shen, Kuo"
"Shen, Qifeng"
"Sheng, Hong"
"Shenstone, W. A. (William Ashwell)"
"Shepard, Edward Morse"
"Shepard, Odell"
"Shepard, William Edward"
"Shepherd, Ambrose"
"Shepherd, C. K."
"Shepherd, William R. (William Robert)"
"Shepp, Daniel B."
"Sheppard, Elizabeth Sara"
"Sheppard, W. Crispin (William Crispin)"
"Sherer, Moyle"
"Sheridan, Carroll Mac"
"Sheridan, Frances Chamberlaine"
"Sheridan, P. B."
"Sheridan, Philip Henry"
"Sheridan, Richard Brinsley"
"Sheridan, Thomas"
"Sherley, Douglass"
"Sherlock, Thomas"
"Sherman, Charles"
"Sherman, Francis"
"Sherman, Harold M. (Harold Morrow)"
"Sherman, John"
"Sherman, V. T."
"Sherman, William T. (William Tecumseh)"
"Sherred, T. L."
"Sherrick, Fannie Isabel"
"Sherrill, Charles Hitchcock"
"Sherry, Richard"
"Shervill, W. P."
"Sherwell, Guillermo A. (Guillermo Antonio)"
"Sherwood, E. Hugh"
"Sherwood, Elmer"
"Sherwood, M. E. W. (Mary Elizabeth Wilson)"
"Sherwood, Margaret Pollock"
"Sherwood, Mrs. (Mary Martha)"
"Shi, Hui"
"Shi, Nai'an"
"Shi, Yukun, active 19th century"
"Shiel, M. P. (Matthew Phipps)"
"Shields, Alexander"
"Shields, G. O. (George O.)"
"Shiga, Shigetsura"
"Shipley, Arthur Everett"
"Shipp, John"
"Shirley, Arthur"
"Shirley, Dame"
"Shirley, James"
"Shiukichi, Shigemi"
"Shoberl, Frederic"
"Shoemaker, Henry W."
"Shoemaker, Michael Myers"
"Shoghi, Effendi"
"Sholl, Anna McClure"
"Sholto, Ralph"
"Shore, W. Teignmouth (William Teignmouth)"
"Short, Richard"
"Shortall, Katherine"
"Shorter, Clement King"
"Shorter, Dora Sigerson"
"Shorthouse, J. H. (Joseph Henry)"
"Shortland, Edward"
"Shortridge, John D."
"Showerman, Grant"
"Shriner, Charles A. (Charles Anthony)"
"Shuman, Carrie V."
"Shumsky-Solomonov, C. M."
"Shute, Henry A. (Henry Augustus)"
"Shutter, Marion D. (Marion Daniel)"
"Sibly, Frederick Arthur"
"Sichel, Walter Sydney"
"Sick, Ingeborg Maria"
"Sidgwick, Alfred, Mrs."
"Sidgwick, Eleanor Mildred"
"Sidgwick, Frank"
"Sidgwick, Henry"
"Sidney, Margaret"
"Sidney, Philip"
"Sidney, Samuel"
"Sidrac, active 13th century"
"Sidwell, Adelia B. Cox"
"Siebe, Josephine"
"Siebert, Wilbur H."
"Sielof, Johanna Maria"
"Siemsen, Hans"
"Sienicka, Léonia"
"Sienkiewicz, Henryk"
"Siepert, Albert Frederick"
"Sieveking, Hermann"
"Sieveking, I. Giberne (Isabel Giberne)"
"Sifferath, Nicholas Louis"
"Sigourney, L. H. (Lydia Howard)"
"Sigurjónsson, Jóhann"
"Sihvo, Aarne"
"Sikes, Wirt"
"Silberer, Herbert"
"Silberrad, Una Lucy"
"Silesius, Angelus"
"Silius Italicus, Tiberius Catius"
"Siljo, Juhani"
"Sillanpää, Frans Eemil"
"Sillars, John"
"Sillem, Charles"
"Sillevis, Annie"
"Sills, Steven David Justin"
"Silva Pinto, Antonio da"
"Silva, Acúrcio Correia da"
"Silva, J. M. Pereira da (João Manuel Pereira)"
"Silva, Joaquim Possidónio Narciso da"
"Silva, Luiz Augusto Rebello da"
"Silveira da Mota, I. F."
"Silver, J. M. W. (Jacob Mortimer Wier)"
"Silverberg, Robert"
"Silvestre, Armand"
"Sima, Qian"
"Sima, Rangju, active 4th century B.C."
"Simak, Clifford D."
"Sime, William"
"Simmel, Georg"
"Simmonds, P. L. (Peter Lund)"
"Simmons, Amelia"
"Simmons, George"
"Simmons, Mervin C."
"Simmons, W. H. (William Herbert)"
"Simms, William Gilmore"
"Simonds, Frank H. (Frank Herbert)"
"Simonds, Vance"
"Simonds, William Day"
"Simonetta, Francesco"
"Simpson, A. B. (Albert B.)"
"Simpson, E. Blantyre (Evelyn Blantyre)"
"Simpson, J. M., Mrs."
"Simpson, James Y."
"Simpson, James Young, Sir"
"Simpson, John Thomas"
"Simpson, W. T. (Wilfrid Tord)"
"Sims, George R."
"Sims, William Sowden"
"Simson, James"
"Simson, Walter"
"Sinclair, Bertrand W."
"Sinclair, Catherine"
"Sinclair, John"
"Sinclair, May"
"Sinclair, Upton"
"Sindall, R. W. (Robert Walter)"
"Sindelar, Joseph C. (Joseph Charles)"
"Singleton, Esther"
"Singmaster, Elsie"
"Sinistrari, Ludovico Maria"
"Sinks, Perry Wayland"
"Sinués de Marco, María del Pilar"
"Siringo, Charles A."
"Sirius, R. U."
"Sirven, Alfred"
"Sismondi, J.-C.-L. Simonde de (Jean-Charles-Léonard Simonde)"
"Sissala, Eero"
"Sitwell, Florence Alice"
"Sivia, H."
"Sizeranne, Robert de la"
"Sjögren, Otto"
"Skae, Hilda T."
"Skanchy, Anthon L."
"Skeat, Walter W. (Walter William)"
"Skeat, Walter William"
"Skeats, Wilfred S."
"Skelton, Oscar D. (Oscar Douglas)"
"Sketchley, R. E. D. (Rose Esther Dorothea)"
"Skiles, May Evelyn"
"Skinner, Ada M. (Ada Maria)"
"Skinner, Charles M. (Charles Montgomery)"
"Skinner, Charlotte"
"Skinner, Constance Lindsay"
"Skinner, John"
"Skinnider, Margaret"
"Skowronnek, Richard"
"Skrine, John Huntley"
"Skupeldyckle, W. W."
"Slack, Henry James"
"Slade, Christine Jope"
"Sladen, Douglas"
"Slafter, Edmund F. (Edmund Farwell)"
"Slater, J. Atwood"
"Slater, J. Herbert (John Herbert)"
"Slater, John Rothwell"
"Slatin, Rudolf Carl von"
"Slatin, Rudolf Carl, Freiherr von"
"Slattery, John T. (John Theodore)"
"Slattery, Margaret"
"Slaught, H. E. (Herbert Ellsworth)"
"Slauson, Harold Whiting"
"Slaveikov, Pencho P."
"Sleeman, Charles William"
"Sleeman, William"
"Sleeper, John Sherburne"
"Sleffel, Charles Conrad"
"Sleigh, W. W. (William Willcocks)"
"Sleight, C. S."
"Slemons, J. Morris (Josiah Morris)"
"Slesar, Henry"
"Sloan, John A. (John Alexander)"
"Sloane, Julia M."
"Sloane, T. O'Conor (Thomas O'Conor)"
"Sloane, William Milligan"
"Sloat, Edwin K."
"Slocum, Joshua"
"Slocum, Rob R. (Rob Roy)"
"Sloos, Dirk Abraham"
"Slosson, Annie Trumbull"
"Slosson, Edwin E. (Edwin Emery)"
"Slouschz, Nahum"
"Slowinski, David"
"Sluijters, Hendrik"
"Smarandache, Florentin"
"Smart, Hawley"
"Smart, Newton"
"Smart, William"
"Smeaton, William Henry Oliphant"
"Smedley, Frank E. (Frank Edward)"
"Smedley, William T. (William Thomas)"
"Smet, Pierre-Jean de"
"Smiles, Samuel"
"Smith, A. D. (Alfred Daniel)"
"Smith, A. H. (Arthur Hamilton)"
"Smith, A. Murray, Mrs."
"Smith, Adam"
"Smith, Alexander"
"Smith, Alice Prescott"
"Smith, Allen Christian"
"Smith, Arthur Cosslett"
"Smith, Arthur H."
"Smith, Baxter Perry"
"Smith, Bertha H."
"Smith, Buckingham"
"Smith, C. Alphonso (Charles Alphonso)"
"Smith, C. E."
"Smith, Caroline L."
"Smith, Cecil"
"Smith, Charles H. (Charles Henry)"
"Smith, Charles W."
"Smith, Charlotte"
"Smith, Clark Ashton"
"Smith, Dama Margaret"
"Smith, David Eugene"
"Smith, David Nichol"
"Smith, E. Boyd (Elmer Boyd)"
"Smith, E. E. (Edward Elmer)"
"Smith, Edgar Fahs"
"Smith, Edward"
"Smith, Eliza R. Snow"
"Smith, Elliott"
"Smith, Elva Sophronia"
"Smith, Elwyn A. (Elwyn Allen)"
"Smith, Erminnie A. (Erminnie Adele)"
"Smith, Evelyn E."
"Smith, F. Berkeley (Frank Berkeley)"
"Smith, F. Clifford (Frank Clifford)"
"Smith, F. G. (Frederick George)"
"Smith, Francis Asbury"
"Smith, Francis Hopkinson"
"Smith, Frank L."
"Smith, Geoffrey Bache"
"Smith, George Adam"
"Smith, George Albert"
"Smith, George Barnett"
"Smith, George H. (George Henry)"
"Smith, George O. (George Oliver)"
"Smith, George"
"Smith, Gipsy"
"Smith, Goldwin"
"Smith, Goodwin Brooke"
"Smith, Grafton Elliot, Sir"
"Smith, Gustavus Woodson"
"Smith, H. Clifford"
"Smith, Harlan Ingersoll"
"Smith, Harriet L. (Harriet Lummis)"
"Smith, Harry James"
"Smith, Henry Bascom"
"Smith, Hermann"
"Smith, Hobart M. (Hobart Muir)"
"Smith, Horace"
"Smith, Hugh M. (Hugh McCormick)"
"Smith, Hugh"
"Smith, Huron H."
"Smith, J. Allen (James Allen)"
"Smith, J. J."
"Smith, J. Jay (John Jay)"
"Smith, James Edward"
"Smith, James"
"Smith, Jewell Ellen"
"Smith, John Bernhard"
"Smith, John Talbot"
"Smith, John Thomas"
"Smith, Joseph F. (Joseph Fielding)"
"Smith, Joseph Fielding"
"Smith, Joseph, Jr."
"Smith, Justin Harvey"
"Smith, Laura Rountree"
"Smith, Laurence Yard"
"Smith, Lewis Worthington"
"Smith, Logan Pearsall"
"Smith, Lucy"
"Smith, Mabell S. C. (Mabell Shippie Clarke)"
"Smith, Mary P. Wells (Mary Prudence Wells)"
"Smith, Nora Archibald"
"Smith, Norman Kemp"
"Smith, Philip Vernon"
"Smith, Phyllis Sterling"
"Smith, Preserved"
"Smith, R. Cadwallader"
"Smith, Rebekah"
"Smith, Richard Rein"
"Smith, Ruel Perley"
"Smith, Seba"
"Smith, Sydney"
"Smith, T. Roger (Thomas Roger)"
"Smith, Theodore Clarke"
"Smith, Thomas Barlow"
"Smith, Thomas F. A."
"Smith, Thorne"
"Smith, Uriah"
"Smith, Venture"
"Smith, Wade C. (Wade Cothran)"
"Smith, Walker C."
"Smith, Watson"
"Smith, William A. (William Andrew)"
"Smith, William Alexander"
"Smith, William Benjamin"
"Smith, William Hawley"
"Smith, William J."
"Smith, William Robert Lee"
"Smith, William"
"Smith, William, active 1596"
"Smith, Winchell"
"Smith, Z. F. (Zachariah Frederick)"
"Smithson, Noble"
"Smits, G."
"Smollett, T. (Tobias)"
"Smolnikar, Andrew B. (Andreas Bernardus)"
"Smoot, Dan"
"Smuts, Jan Christiaan"
"Smyth, Albert Henry"
"Smyth, Clifford"
"Smyth, H. Warington (Herbert Warington)"
"Smyth, J. Paterson (John Paterson)"
"Smyth, W. H. (William Henry)"
"Smyth, William J."
"Smythe, E. Louise (Emma Louise)"
"Smythe, James P."
"Smythies, Mrs. Gordon"
"Snaith, J. C. (John Collis)"
"Snape, Andrew"
"Snell, F. J. (Frederick John)"
"Snell, Roy J. (Roy Judson)"
"Snelleman, Johannes François"
"Snelling, Henry Hunt"
"Snider, Denton Jaques"
"Snoek, Johan M."
"Snow, Alpheus Henry"
"Snow, Charles H. (Charles Henry)"
"Snow, Erastus"
"Snow, S. T."
"Snowden, James H. (James Henry)"
"Snowden, James Ross"
"Snyder, Charles M."
"Snyder, Harry"
"Snyder, Jean M."
"Soares, Theodore Gerald"
"Socci, Ettore"
"Society, Arizona Pioneers Historical"
"Society, West Texas State Geological"
"Sohl, Jerry"
"Soini, Lauri"
"Soini, Wilho"
"Soldan, Wilhelm Gottlieb"
"Soldevila, Carles"
"Soley, James Russell"
"Solger, H."
"Solkio, Olli"
"Sologub, Feodor"
"Sologub, Fyodor"
"Solomon, Steve"
"Solomos, Dionysios"
"Solvay, Ernest"
"Solórzano, Alonso de Castillo"
"Somadeva Bhatta, active 11th century"
"Sombart, Werner"
"Somerton, Alice"
"Somervell, D. C. (David Churchill)"
"Somerville, Charles"
"Somerville, E. Oe. (Edith Oenone)"
"Somerville, H. G."
"Somerville, Mary"
"Son, Blackie &"
"Song, Shangjie"
"Song, Ye"
"Song, Yingxing"
"Sori, A. F. Marx de"
"Sorley, W. R. (William Ritchie)"
"Sorrel, Gilbert Moxley"
"Sotheran, Charles"
"Soule, Richard"
"Soulier, Monsieur"
"Soulsby, Lucy Helen Muriel"
"Souriau, Paul"
"Souris, Georgios"
"Sourryère de Souillac, José"
"Sousa, Eduardo de"
"Sousa, Francisco de, active 1570"
"Sousa, John Philip"
"South, Clark"
"South, Richard"
"Southall, Eliza Allen"
"Southall, John"
"Southard, Elmer Ernest"
"Southey, Robert"
"Southwell, Charles"
"Southwick, Jessie Eldridge"
"Southworth, Emma Dorothy Eliza Nevitte"
"Southworth, Gertrude Van Duyn"
"Southworth, May E. (May Elizabeth)"
"Souttar, Henry Sessions"
"Souvestre, Pierre"
"Souvestre, Émile"
"Souza-Botelho, Adélaïde-Marie-Emilie Filleul, marquise de"
"Soveral, Luiz Augusto Pinto Soveral, visconde de"
"Sowerby, G. B. (George Brettingham)"
"Soyer, Alexis"
"Spafford, Oliver"
"Spalding, Henry S. (Henry Stanislaus)"
"Spalding, John Lancaster"
"Spalding, Thomas Alfred"
"Spalding, Walter Raymond"
"Spalding, William"
"Spargo, John"
"Sparks, David R."
"Sparks, Edwin Erle"
"Sparks, Jared"
"Sparks, W. H. (William Henry)"
"Sparre, Christian"
"Sparrow-Simpson, W. J."
"Spear, Ellis"
"Spearman, Frank H. (Frank Hamilton)"
"Spears, John Randolph"
"Spears, Raymond S. (Raymond Smiley)"
"Speck, Frank G. (Frank Gouldsmith)"
"Spedon, Andrew Learmont"
"Speed, Harold"
"Speed, Nell"
"Speek, Peter A. (Peter Alexander)"
"Speidel, Ludwig"
"Speiser, Felix"
"Speke, John Hanning"
"Spence, Catherine Helen"
"Spence, Edward Fordham"
"Spence, Lewis"
"Spence, William"
"Spencer, Anna Garlin"
"Spencer, Edward"
"Spencer, Herbert"
"Spencer, Ichabod S. (Ichabod Smith)"
"Spencer, Len"
"Spencer, M. Lyle (Matthew Lyle)"
"Spencer, Orson"
"Spencer, Sanders"
"Spencer-Cooper, Henry Edmund Harvey"
"Spender, Harold"
"Spenser, Edmund"
"Sperani, Bruno"
"Spicer, William A."
"Spicer, William Ambrose"
"Spiegel, E. (Edgar), Freiherr von"
"Spielhagen, Friedrich"
"Spielmann, M. H. (Mabel Henrietta)"
"Spielmann, M. H. (Marion Harry)"
"Spier, Leslie"
"Spilker, Louise"
"Spillman, Joseph"
"Spindler, Carl"
"Spindler, Karl"
"Spingarn, Joel Elias"
"Spink, Henry"
"Spinoza, Benedictus de"
"Spinrad, Norman"
"Spitz, R. J."
"Spitzweg, Carl"
"Spivak, John L. (John Louis)"
"Spofford, Ainsworth Rand"
"Spofford, Harriet Prescott"
"Spohr, Louis"
"Spon, Ernest"
"Spooner, Lysander"
"Spooner, Shearjashub"
"Sprague, Charles"
"Sprague, Homer B. (Homer Baxter)"
"Sprague, Ruth M."
"Springer, Anton Heinrich"
"Springer, John S."
"Springer, Norman"
"Springer, Rebecca Ruter"
"Springsteed, Anne Frances"
"Spurgeon, C. H. (Charles Haddon)"
"Spurgeon, Caroline F. E. (Caroline Frances Eleanor)"
"Spurr, Josiah Edward"
"Spyri, Johanna"
"Squareman, Clarence"
"Squier, E. G."
"Squier, Edward Summers"
"Squire, John Collings, Sir"
"Squires, Richard C."
"St. Clair, Francis"
"St. John de Crèvecoeur, J. Hector"
"St. John, Thomas M. (Thomas Matthew)"
"St. Johnston, Alfred"
"St. Mars, F."
"St. Paul, Mother"
"Stables, Gordon"
"Stace, W. T. (Walter Terence)"
"Stack, Edward"
"Stackelberg, Natalie"
"Stacpoole, H. De Vere (Henry De Vere)"
"Stacpoole, William Henry"
"Stafford, David W."
"Stains, Howard J."
"Stair, John Dalrymple, Earl of"
"Stair-Kerr, Eric"
"Staley, Edgcumbe"
"Stalker, James"
"Stall, Sylvanus"
"Stallcup, William B."
"Stallman, Richard"
"Stamatiades, Epameinondas I."
"Stamatov, G. P. (Georgi Porfirievich)"
"Stamers, James"
"Stamp Act Congress (1765 : New York, N.Y.)"
"Stampoy, Pappity"
"Stanard, Mary Newton"
"Standing, Percy Cross"
"Standish, Burt L."
"Stanfield, James Field"
"Stangland, Arthur G."
"Stankiević, V."
"Stanley, Arthur Penrhyn"
"Stanley, Edward"
"Stanley, Henry M. (Henry Morton)"
"Stanley, Monica M."
"Stanley, Thomas"
"Stanley, W."
"Stannus, Graydon, Mrs."
"Stanton, Elizabeth Cady"
"Stanton, Frank Lebby"
"Stanton, Henry B. (Henry Brewster)"
"Stanton, Henry"
"Stanwood, Avis A. Burnham"
"Stanyon, Ellis"
"Stapfer, Paul"
"Stapleton, John H. (John Henry)"
"Starbäck, C. Georg (Carl Georg)"
"Stark, Harriet"
"Stark, James Henry"
"Starke, D."
"Starr, Frederick"
"Starr, Ida May Hill"
"Starrett, Helen Ekin"
"Starrett, Vincent"
"Starzl, Roman Frederick"
"Stassen, Harold E."
"Statham, Edward Phillips"
"Staub, Edward S."
"Stauffer, Frank H."
"Staunton, Howard"
"Staveley, Lilian"
"Stawell, Rodolph, Mrs."
"Staël, Madame de (Anne-Louise-Germaine)"
"Stead, Richard"
"Stead, Robert J. C."
"Stead, W. T. (William Thomas)"
"Stearns, Charles (Abolitionist)"
"Stearns, Charles A."
"Stearns, Frank Preston"
"Stearns, Henry Putnam"
"Stearns, J. N."
"Stearns, Samuel"
"Stearns, Wallace N. (Wallace Nelson)"
"Stebbing, Thomas R. R."
"Stebbing, W. (William)"
"Stecher, Gilbert Erwin"
"Stedman, Fabian"
"Stedman, John Gabriel"
"Steedman, Amy"
"Steel, Flora Annie Webster"
"Steel, W. G. (William Gladstone)"
"Steele, Chester K."
"Steele, David"
"Steele, Edward S."
"Steele, Jack"
"Steele, James W."
"Steele, Joel Dorman"
"Steele, Richard, Sir"
"Steenbergen, Albertus Alidus"
"Stees, Charles J."
"Steevens, G. W. (George Warrington)"
"Stefani, Alessandro de"
"Steffen, Gustaf F."
"Stein, Evaleen"
"Stein, Gertrude"
"Steinberg, Judah"
"Steiner, Bernard C. (Bernard Christian)"
"Steiner, Edward Alfred"
"Steiner, Rudolf"
"Steinert, Walter"
"Steinhausen, Heinrich"
"Steinheil, Marguerite"
"Steinhofer, Károly"
"Steinmetz, Andrew"
"Steinmetz, Margaret Bird"
"Stellman, Louis J. (Louis John)"
"Stelwagon, Henry Weightman"
"Sten, Daniel"
"Stendal, Russell"
"Stenius, John"
"Step, Edward"
"Stephen, Geo. A. (George Arthur)"
"Stephen, Karin"
"Stephen, Leslie"
"Stephen, Vincent"
"Stephens, Ann S. (Ann Sophia)"
"Stephens, Bascom Asbury Cecil"
"Stephens, C. A. (Charles Asbury)"
"Stephens, H. Morse (Henry Morse)"
"Stephens, Henry"
"Stephens, James"
"Stephens, John L."
"Stephens, Robert Neilson"
"Stephens, W. R. W."
"Stephens, William"
"Stephenson, Andrew"
"Stephenson, James H."
"Stephenson, Nathaniel W. (Nathaniel Wright)"
"Stephenson, William B."
"Stepniak, S."
"Sterling, Bruce"
"Stern, Daniel"
"Stern, Eva"
"Stern, G. B. (Gladys Bronwyn)"
"Stern, Maximilian"
"Stern, Sigmon Martin"
"Sternaux, Ludwig"
"Sternbach, Richard"
"Sterndale, Robert Armitage"
"Sterne, Laurence"
"Sternheim, Carl"
"Sterrett, Frances R. (Frances Roberta)"
"Stetson, James B. (James Burgess)"
"Stevens, Augusta de Grasse"
"Stevens, C. M. (Charles McClellan)"
"Stevens, Doris"
"Stevens, Francis"
"Stevens, Frank E."
"Stevens, Frank"
"Stevens, George Alexander"
"Stevens, George T. (George Thomas)"
"Stevens, Hazard"
"Stevens, Henry"
"Stevens, Isaac Newton"
"Stevens, John Austin"
"Stevens, N. M. (Nettie Maria)"
"Stevens, Thomas"
"Stevenson, Adlai E. (Adlai Ewing)"
"Stevenson, Augusta"
"Stevenson, Burton Egbert"
"Stevenson, Edward Luther"
"Stevenson, Fanny Van de Grift"
"Stevenson, James"
"Stevenson, Matilda Coxe Evans"
"Stevenson, O. J."
"Stevenson, Robert Louis"
"Stevenson, Robert"
"Stevenson, Sara Yorke"
"Stevenson, William G."
"Stevenson, William"
"Steward, Austin"
"Steward, T. G. (Theophilus Gould)"
"Steward, W. Augustus"
